part_number,description,supplier_code,category_code,quantity,cost,price,margin,margin_percent,supplier_from_group
100275,LADDER-WIDE HANDLE 4,BAR,ACC,0.0,400.0,699.0,299.0,42.77,BAR
100278,LIGHT MOOD LIGHT,BAR,ACC,0.0,7.3,13.3,6.0,45.11,BAR
100279,HELM - FLOOR MAT 6mm,BAR,ACC,0.0,115.0,194.99,79.99,41.02,BAR
100290,Furniture - Folding Tbl Legs,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100299W,BOAT CAPACITY STICKER,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100308,"LIGHT- DOME - 4"" SLIM",BAR,ACC,0.0,7.5,12.49,4.99,39.95,BAR
100321,CANVAS - POWER BIMINI,BAR,ACC,0.0,300.0,499.99,199.99,39.99,BAR
100792,"TUBE 26"" - 23' CENTER 20""",BAR,ACC,0.0,4775.0,7999.99,3224.99,40.31,BAR
100796,PUMP - ELCTRO MAGN,BAR,ACC,0.0,23.15,38.99,15.84,40.62,BAR
100807,PROP - ENERTIA 15.6 x 13,BAR,ACC,0.0,535.0,899.99,364.99,40.55,BAR
100814,"ANODE 6"" WITH .375""",BAR,ACC,0.0,15.85,26.49,10.64,40.16,BAR
100814W,"ANODE 6"" WITH .375""",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100819,SEALANT - CAULK 10OZ,BAR,ACC,0.0,6.95,11.49,4.54,39.51,BAR
100819W,SEALANT - CAULK 10OZ,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100902W,SEALANT - OPT METAL,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100920,FOLDING TABLE LEG,BAR,ACC,0.0,9.6,15.99,6.39,39.96,BAR
101156,MAT 2X4 SPAGHETTI MAT,BAR,ACC,0.0,16.6,29.99,13.39,44.64,BAR
101271,PLUG - DEUTSCH PLUG 4-,BAR,ACC,0.0,0.95,1.75,0.8,45.71,BAR
101275,CONNECTOR - WEDGE,BAR,ACC,0.0,0.3,0.5,0.2,40.0,BAR
101279W,Fastener - 1/4-20 x 2.5 PH,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101328,FASTENER - #66 ALL,BAR,ACC,0.0,0.1,0.17,0.07,41.17,BAR
101361W,Fastener - 1/4-20 x 1/2,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101384W,Fastener - 14-20 x 1.5 Phil,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101402,Light - Track for Underdeck,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101565W,FASTNER - #612 ALL,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101583,PANEL - BATTERY,BAR,ACC,0.0,175.0,259.99,84.99,32.68,BAR
101599,PLUG - USB W/AUXILARY,BAR,ACC,0.0,0.0,23.99,23.99,100.0,BAR
101601W,"HOSE - 2"" BLACK RIGGING",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101609W,"PLUG - 1.25"" SQ PLASTIC",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101651W,BRACKET - MIDSHIP STG,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101729W,"Tape - .375"" x 2.00"" x 50'",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101758W,MERCURY FUEL/WATER,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101784W,BUMPER - BLACK RUBBER,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101787,BUMPER HOLDER DECK,BAR,ACC,0.0,116.0,164.99,48.99,29.69,BAR
101903,Sealant,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101946,FASTENER - #612 ALL,BAR,ACC,0.0,0.08,0.16,0.08,50.0,BAR
101946W,FASTENER - #612 ALL,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
101980,LIGHT - UMBRA 1.5,BAR,ACC,0.0,10.0,16.99,6.99,41.14,BAR
101981W,LIGHT - UMBRA 1.5 RGB,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
